Date,Close,High,Low,Open,Volume
2010-11-02,9.28702449798584,9.311941369335267,9.216177791651475,9.216177791651475,433930000
2010-11-03,9.39029312133789,9.392694785776886,9.262107087589232,9.347363770302659,508348400
2010-11-04,9.55450439453125,9.61184293702501,9.45723857706085,9.469847316783536,642488000
2010-11-05,9.520278930664062,9.593528087642484,9.508871827006615,9.546096821563248,361253200
2010-11-08,9.565011024475098,9.599533751321779,9.509173123085777,9.522382278637247,281758400
2010-11-09,9.488757133483887,9.645462501494507,9.441325873183505,9.63795690075438,383544000
2010-11-10,9.547300338745117,9.569514937863728,9.412809506689445,9.505571811135441,384227200
2010-11-11,9.50586986541748,9.558405065107621,9.433820744126127,9.456335944225263,361284000
2010-11-12,9.247093200683594,9.501363315179917,9.115005714425559,9.48635371971522,795846800
2010-11-15,9.217374801635742,9.322445187607338,9.194259188462242,9.260003532296734,403606000
2010-11-16,9.053764343261719,9.234184912260325,8.98561834105541,9.177747420914214,657650000
2010-11-17,9.02104663848877,9.125816451004392,8.938791229167663,9.042060402119798,479449600
2010-11-18,9.259105682373047,9.296330682268925,9.14683106815557,9.16214047763533,494491200
2010-11-19,9.208070755004883,9.25820429508767,9.163340959624655,9.245295750221135,384843200
2010-11-22,9.407100677490234,9.407100677490234,9.182250152820583,9.206565792245328,393075200
2010-11-23,9.268110275268555,9.358772304536492,9.202967132627398,9.319745258126215,519447600
2010-11-24,9.450332641601562,9.46834512396492,9.358771995270445,9.366275993819771,413725200
2010-11-26,9.45633602142334,9.537390582117224,9.39449477366361,9.418510613207763,237585600
2010-11-29,9.512474060058594,9.530785547172659,9.34766346141992,9.471345961390547,445785200
2010-11-30,9.340758323669434,9.437123087985507,9.33235249963674,9.412506031889757,501858000
2010-12-01,9.49836254119873,9.538889413051054,9.456334228746291,9.464439442792079,461750800
2010-12-02,9.550899505615234,9.576415984323495,9.45303329647641,9.532286608781106,462837200
2010-12-03,9.529589653015137,9.565913637419648,9.49656755751143,9.51668110313175,342092800
2010-12-06,9.610939025878906,9.676382760843365,9.559003447284395,9.565608022700216,448481600
2010-12-07,9.552700996398926,9.726216422842398,9.549999525020974,9.720513672877193,391454000
2010-12-08,9.636757850646973,9.637058459511438,9.51967991660995,9.595329941005593,321935600
2010-12-09,9.59923267364502,9.68148727200389,9.577017278612182,9.670380776922883,294151200
2010-12-10,9.623250007629395,9.637959803106948,9.56441002409545,9.595931472475197,262511200
2010-12-13,9.656570434570312,9.758339758335849,9.63645769819905,9.737625804257194,439815600
2010-12-14,9.615142822265625,9.682688425702619,9.576416387710596,9.658371976400359,351008000
2010-12-15,9.617243766784668,9.696496273284778,9.58211983187536,9.606435477247006,417312000
2010-12-16,9.643960952758789,9.684788438288733,9.609438235909865,9.639157624858386,322030800
2010-12-17,9.624749183654785,9.660172928023552,9.613341279013193,9.655369599753408,386929200
2010-12-20,9.67278003692627,9.704001668015465,9.553300462905748,9.654467750272229,385610400
2010-12-21,9.732522010803223,9.73822556287177,9.667979284900323,9.696497846866684,256354000
2010-12-22,9.76134204864502,9.778153700732998,9.713009751327622,9.737326204428744,265921600
2010-12-23,9.714509010314941,9.761040048741982,9.701600466887477,9.756537329470289,223157200
2010-12-27,9.746932029724121,9.76974784319855,9.652068683833091,9.691995956601497,249816000
2010-12-28,9.770647048950195,9.806370600434803,9.75833892110048,9.78385540003654,175924000
2010-12-29,9.76524543762207,9.800068773476294,9.75954108325779,9.79316358678519,163139200
